title,videoId,publishedAt,viewCount,likeCount,commentCount
‘무한 재생될 우리의 불패신화’ 2024 기아타이거즈 한국시리즈 우승 하이라이트,Hac_l6kFO6M,2024-11-03T13:45:02Z,124109,5812,416
팬들이 영원히 이범호 감독 응원가를 불러,a54D1ng3EvE,2024-11-03T11:52:11Z,91518,5097,72
"프리미어12 국대 타이거즈 훈련 첫 날 🇰🇷 | 갸티비 만나 반가운 선수들, 전상현 섹시투수 피드 비하인드, 야유회 단체사진 공개",guITorBdnyk,2024-11-02T09:07:00Z,219760,6276,450
"시구자가 무려 김응룡, 제이홉, 박신혜?",_BgsYZsRtg8,2024-10-31T11:27:54Z,69906,2520,56
우승했잖아 한잔해~🍾🍷🍸  [2024 우승 기념 축승회],zGj0S6Ph3Rg,2024-10-31T08:45:03Z,427251,9960,980
'챔필이 들썩였다' 한국시리즈 5차전 열광의 응원 현장,Vjc0V-rVzlA,2024-10-30T13:35:00Z,73132,3482,227
기아 선수가 춥니다 ‘외쳐라 최강기아’,3d5QQPepEBM,2024-10-30T12:55:46Z,78849,4931,64
'꼬부기가 한가득' 광란의 2024 우승 샴페인 세리머니 🍾,VhWQyt0-F7k,2024-10-30T10:53:03Z,169918,5215,351
'현장감 MAX' 고프로 출동! [2024 한국시리즈 우승 시상식],3Tw7Gi9X1jw,2024-10-30T01:20:00Z,173703,6154,432
"압도했다, 기아타이거즈! 통합우승 달성의 순간! 🏆 [KS 5차전 챔필덕관]",OCWJSLuaCbM,2024-10-29T06:47:20Z,310314,9709,827
2024 한국시리즈 우승콜,CWDAbmIgfvA,2024-10-28T17:48:57Z,197133,10570,179
"[KIA TVC] 야구를 사랑하는 모두에게, 기아타이거즈 V12",H-9337JrF3c,2024-10-28T16:21:42Z,90233,6738,350
🏆 우승팀 누구? 🏆 ｜한국시리즈 5차전 하이라이트,aRrteDRC3kQ,2024-10-28T16:18:54Z,187932,5193,422
"좋아요 11,000개 받은 우승 엠블럼 라인업송",LUet73aVdm4,2024-10-27T05:33:53Z,175223,11847,308
"김태군: ""광주에서 트로피 들겠습니다"" 🏆｜한국시리즈 4차전 덕관",SNLJ3lywnAI,2024-10-27T02:57:03Z,259369,7291,530
영상으로만 봐도 장관인 홀짝 응원,8s6fl1K7j_4,2024-10-26T16:23:50Z,160276,7641,225
4차전도 이겼다!!!!!!! 승리 직후 선수들 반응,LoXa7FXWw_Q,2024-10-26T13:51:09Z,212302,6712,557
인생 첫 만루홈런을 한국시리즈에서 때린 선수,L6dXyyQBv8o,2024-10-26T10:09:13Z,273412,14776,382
"네일 승리투수, 김태군 만루포, 테스 4타점! | 한국시리즈 4차전 하이라이트",mZX2ule1wsI,2024-10-26T09:58:23Z,159243,4436,438
상대팀에서 보는 응원은 이렇게 압도적입니다 | KS 1차전 응원캠,PyMeWBrsMEo,2024-10-24T13:15:04Z,188499,6356,493
'2024년에도 양현종' KS 우승 확률 90% 🏆｜한국시리즈 2차전 챔필덕관,houfuekJk_U,2024-10-24T10:07:09Z,144012,4656,418
1차전 분위기 전상현이 바꿨다!｜한국시리즈 1차전 챔필덕관,qMuKwY0Yub8,2024-10-24T03:49:45Z,177373,5199,577
2차전도 이겼다!!!!! 승리 직후 선수들 반응,fcm1a_s9cuY,2024-10-23T15:01:44Z,158606,5154,414
하루 2경기 전승! 🔥｜한국시리즈 2차전 하이라이트,C-ug7Gc9268,2024-10-23T14:22:38Z,104948,3068,293
우리가 누구? 최강기아 🥇 ｜한국시리즈 1차전 하이라이트,ZDJlEieZpeM,2024-10-23T10:41:52Z,116536,3289,284
1차전 이겼다!!!!!!!!!!! 승리 직후 선수들 반응,IQEVXN7ZzJc,2024-10-23T09:57:20Z,105109,4510,287
D-day🔥🏆 한국시리즈에 임하는 선수들의 출사표,7Thu4r7OWFo,2024-10-20T15:00:06Z,102822,5054,753
’우승하러 갑시다!‘ 2024 한국시리즈 미디어데이 현장,lNaCjm-WDr8,2024-10-20T14:31:18Z,113818,4138,382
KIA 타이거즈 2024 한국시리즈 엔트리 🏆,4WvdoRQosAc,2024-10-20T06:33:03Z,115066,4745,727
'KIA 이겨라!' 10월 19일 자체 연습경기 하이라이트,lEt31uLFhEg,2024-10-20T02:24:23Z,147474,3012,205
