Author,final_sentiment
@---________---,KIA
@-_-right-_-right,SAMSUNG
@-bluish-,SAMSUNG
@-goodstar7995,KIA
@-hara_legend,KIA
@-khai8887,SAMSUNG
@-kim7-872,SAMSUNG
@-pp2227,SAMSUNG
@-sv6kr,SAMSUNG
@-togglekim5212,unknown
@0-jk8ee,KIA
@0.K.J.W.0,SAMSUNG
@001_1,KIA
@00delight17,SAMSUNG
@00무케,unknown
@0171v,KIA
@0199ka,KIA
@01aerim58,unknown
@02.622,SAMSUNG
@02jw15,SAMSUNG
@03yyyyy,KIA
@0616YH,unknown
@07365p,KIA
@0_danzi,unknown
@0d195h._.k,unknown
@0dododo0,KIA
@0hgenie,SAMSUNG
@0nacloud,unknown
@0okimhen_9,KIA
@0orrriiii390,KIA
@0penthe3oon,unknown
@0초전30년전기원전해물,unknown
@1-io4tq,KIA
@10000elf,KIA
@100퍼센트-i5l,unknown
@10eisjsnsn,KIA
@10maerr,SAMSUNG
@10년째체험단신청중,SAMSUNG
@10번돼지엄마,SAMSUNG
@110volt,KIA
@1201jjj,unknown
@1225-x9v,KIA
@123asg,SAMSUNG
@12o6luca,KIA
@13pro71,KIA
@1500Americano,unknown
@1573min,KIA
@1703기아,unknown
@178dodoyy,KIA
@17_8coup,SAMSUNG
@18세숙이-k9f,SAMSUNG
@1980인생여행,SAMSUNG
@1mmm2m,SAMSUNG
@1nuyhoes,SAMSUNG
@1ov3meright,SAMSUNG
@1tannenbaum344,SAMSUNG
@1분직캠,KIA
@1일1면주-w5x,SAMSUNG
@1호선광인,SAMSUNG
@2-kk7pu,SAMSUNG
@20000gbgh,SAMSUNG
@2002kyoom,unknown
@200jhfam8,KIA
@2022EnA,SAMSUNG
@20forbidden44,KIA
@20in22,SAMSUNG
@217jooohnnn,unknown
@227Vvv,SAMSUNG
@23fanatic__,SAMSUNG
@245sh12,KIA
@247WithU,SAMSUNG
@24v9worlds,SAMSUNG
@252-s1g,unknown
@2525-p8z,SAMSUNG
@25yyvah,SAMSUNG
@27시30분,KIA
